trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.9, 'e': 0.6299999999999997}",20,0,-27.694089749274806,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.9, 'e': 0.6199999999999997}",20,0,-90.25454234608488,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.6099999999999997}",35,13,-0.6038990671989048,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.9, 'e': 0.5999999999999996}",25,0,-11.260350091350809,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.9, 'e': 0.5899999999999996}",25,0,-0.15628697578246853,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.5799999999999996}",25,0,-15.127068595874114,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.5699999999999996}",30,13,-96.42314462778921,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
44,False,"{'a': 0.9, 'e': 0.5599999999999996}",30,10,11.669850139534745,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.5499999999999996}",25,0,-82.00262341318076,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.9, 'e': 0.5399999999999996}",20,0,-112.32585693776956,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",1
47,False,"{'a': 0.9, 'e': 0.5299999999999996}",25,0,-125.8274879859857,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
48,False,"{'a': 0.9, 'e': 0.5199999999999996}",25,0,-63.604041112001134,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.9, 'e': 0.5099999999999996}",25,14,-43.2207148412829,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.9, 'e': 0.49999999999999956}",20,0,-34.715280758486124,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.9, 'e': 0.48999999999999955}",25,9,-51.43134861338025,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.9, 'e': 0.47999999999999954}",20,14,-0.5043969794615482,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.46999999999999953}",30,0,-119.37396971027793,"{0: 22, 1: 3, 2: 1, 3: 2, 4: 2}",0
54,False,"{'a': 0.9, 'e': 0.4599999999999995}",25,7,-26.41620696986748,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.9, 'e': 0.4499999999999995}",20,9,-1.03342841528457,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.4399999999999995}",20,0,7.0435726090763575,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.4299999999999995}",20,0,-76.07749405704742,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.4199999999999995}",20,0,-67.86476021538132,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.4099999999999995}",35,14,-26.831469948113124,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.39999999999999947}",25,0,6.167466894158862,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.38999999999999946}",30,0,-16.22840249560712,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.37999999999999945}",20,0,-27.51082675192923,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.9, 'e': 0.36999999999999944}",30,12,6.601653304379719,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.35999999999999943}",30,0,-25.613302318542093,"{0: 23, 1: 5, 2: 1, 3: 1, 4: 0}",0
65,False,"{'a': 0.9, 'e': 0.3499999999999994}",25,0,-49.65889045644761,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.9, 'e': 0.3399999999999994}",25,9,-27.024508586308947,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.9, 'e': 0.3299999999999994}",20,0,22.259307101688652,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
